covariate,HR,HR_lower_95,HR_upper_95,p
index_order_category_en_cool_stuff,0.9121769194476722,0.8133278101161193,1.02303981497233,0.11624502351137286
purchase_month_12,0.9411824027776383,0.8677750124002199,1.0207995190460086,0.14344188719655493
purchase_month_11,0.9512826031163437,0.8854372913239068,1.0220244842395807,0.17235034034762006
customer_state_SP,1.032495023542594,0.9819547712198158,1.0856365332549331,0.2117303775481511
purchase_month_5,1.060925194353534,0.9642052031812157,1.1673472247406473,0.22528493553015613
index_order_category_en_sports_leisure,1.0560175376352638,0.9657805429359513,1.1546857595651538,0.23171145230419646
customer_state_CE,0.8799146942896946,0.7125749540620469,1.0865521792666173,0.2345678211021358
purchase_month_6,1.0618738819545082,0.9593291792446172,1.175379802441742,0.24660411924850809
price_sum,0.9999330970604918,0.9998151939281545,1.000051014096547,0.26611280038981855
actual_delay_days,0.9985387833716808,0.9959659564479935,1.0011182565450079,0.2666119605569054
index_order_category_en_furniture_decor,1.0552219808597532,0.958681009237667,1.16148480898252,0.27220733279030074
n_items,1.0234797434488536,0.9771884668810897,1.071963925846864,0.3257110990370078
purchase_month_8,1.0405937540507262,0.9514763922744021,1.1380580430177376,0.38370790619838535
purchase_month_9,1.0406846073503933,0.9507569729853335,1.1391180740703852,0.3871232732699612
index_order_category_en_unknown,0.9293133603487803,0.7738157545238421,1.11605807541895,0.43264412305385347
customer_state_BA,0.9476459462338157,0.8273939976402913,1.0853750957519064,0.43734633479880025
customer_state_MA,0.9032529713704321,0.6870913792866924,1.187419832186674,0.4659475716517145
purchase_dow_4,0.9749877597365634,0.9101865908620342,1.0444024787662627,0.4703764051144702
customer_state_PA,0.9191653614024936,0.7228096453908949,1.1688623235586104,0.49181023938834356
customer_state_DF,0.9432777412596771,0.7917904329199339,1.123747976942192,0.5132617094607158
index_order_category_en_toys,0.964549724494661,0.8624244657305977,1.0787682956496147,0.527309815132019
customer_state_RJ,1.0234077871327336,0.9523114978825246,1.099811879928724,0.5287946121617237
purchase_month_2,0.9705093424382868,0.8829413940958761,1.0667620637771558,0.5349689843999657
purchase_month_3,1.0345056375417345,0.9258254383161305,1.1559435178753446,0.549147558801431
customer_state_PB,0.9042973375487305,0.6473368356077315,1.2632583683114535,0.5553217003228044
purchase_month_4,1.0346664203370572,0.9206691725518028,1.162778806208877,0.5671934393173859
index_order_category_en_other,0.9855205947100275,0.9360567397746943,1.0375982580194691,0.5787957975078577
index_order_category_en_telephony,0.9711611874808486,0.8645917895688429,1.0908663064445092,0.6217072525949787
purchase_dow_6,1.0177714097870396,0.9440884465116655,1.097205083281462,0.6459356947883315
index_order_category_en_housewares,0.975606437945046,0.8749390066783149,1.087856312834122,0.6567144096711388
purchase_dow_5,0.982627166720198,0.9092222889612323,1.0619582917173003,0.6581870592207035
purchase_month_7,1.0210041502771159,0.9306501804969678,1.1201303096792254,0.6601615396410704
index_order_category_en_computers_accessories,0.9784811594302402,0.884916863582903,1.0819382235337538,0.6714117004545613
customer_state_PE,0.9596321102310126,0.7909771258864438,1.1642483162258144,0.6760627103053738
customer_state_RN,0.9360295175940211,0.6677854544999661,1.3120250701826874,0.7011964632271216
customer_state_AL,0.9307372223284035,0.6397660914763971,1.354044530600996,0.7074521914732845
n_sellers,1.0412874316380976,0.8428614961190508,1.286426678973974,0.7076006020576258
freight_value_sum,0.9997521497999778,0.9984544355153132,1.0010515507538633,0.7083717464980279
purchase_dow_3,1.0132035380907911,0.9455548260903165,1.0856921050727537,0.7098529322572786
customer_state_MS,0.9463566928887117,0.70477906970332,1.2707400498602526,0.7138816563799009
customer_state_RR,0.7945580126740307,0.22765494920952498,2.7731548894351503,0.7183998259104267
customer_state_SE,0.9398165081127219,0.6382411435874212,1.3838892678660544,0.7532303936562088
customer_state_PR,0.9850955114814051,0.8817486959747657,1.1005552615737384,0.7905799798203729
customer_state_RO,1.0555898536266561,0.6705127992122227,1.6618175527576617,0.8152562463511837
customer_state_SC,0.987649933647991,0.8690019105080868,1.1224974072433913,0.849066493933087
purchase_dow_1,1.0064466612532692,0.9417530164628696,1.0755844305679372,0.8496463211194928
customer_state_PI,0.970802910292289,0.6897695727681795,1.3663378725879565,0.8650628894471183
purchase_dow_2,1.0050773783534825,0.9390118502262433,1.0757910416514116,0.8839270744411609
purchase_month_10,0.9954214602234964,0.9139278451940569,1.084181742228332,0.9161357019379702
customer_state_MT,0.9866904720249985,0.7667834038836981,1.2696650483747018,0.9170512055603293
index_order_category_en_watches_gifts,0.9945019030022844,0.8862270905772345,1.1160051927897716,0.9253121851973818
customer_state_ES,0.9930108385085505,0.8381021058880423,1.1765517810632713,0.9354003764671069
customer_state_RS,0.9960049859394126,0.8965524994859769,1.1064895057288118,0.9405466766097724
customer_state_GO,0.994604342423335,0.8391525648409321,1.1788533330108717,0.9502494815518563
index_order_category_en_health_beauty,0.997284477266748,0.9102101548463561,1.0926886755785488,0.9534813651618076
customer_state_AM,0.9846216762588121,0.52649388322579,1.841388620545371,0.9613008821286126
customer_state_MG,1.0007423071623025,0.928481485391131,1.078626963598142,0.9845178987074442
customer_state_TO,1.0033701295897104,0.6345211673571121,1.586632044358997,0.9885187979397382
customer_state_AP,1.0009863504992218,0.4126448342731796,2.4281745236205303,0.9982602139848752
